trees,site,site.code,Gra.gri.v,Ako.dol.v,Cal.mus.v,Mic.aus.v,Dol.pat.v,Lyc.gri.v,Cone.chi.v,Cha.vell.v,Tup.ruf.v,Cte.men.v,Bos.tau.v,Equ.cab.v,Gra.gri.c,Ako.dol.c,Cal.mus.c,Mic.aus.c,Dol.pat.c,Lyc.gri.c,Cone.chi.c,Cha.vell.c,Tup.ruf.c,Cte.men.c,Bos.tau.c,Equ.cab.c,fruit_avail_sp1,fruit_avail_sp2,fruit_avail_sp3,fruit_avail_sp4,Gra.gri,Ako.dol,Cal.mus,Mic.aus,Dol.pat,Lyc.gri,Cone.chi,Cha.vell,Tup.ruf,Cte.men,Bos.tau,Equ.cab
T135,ungrazed,protected1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T136,ungrazed,protected1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,18,18,18,6,0,0,0,0,0,0,0,0,0,0,0
T137,ungrazed,protected1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
T138,ungrazed,protected1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0
T139,ungrazed,protected1,2,0,0,24,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,20,16,10,10,8,0,0,144,0,0,0,0,0,0,0,0
T140,ungrazed,protected1,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0
T141,ungrazed,protected1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1020,0,0,0,0,0,0,0,0
T142,ungrazed,protected1,11,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,20,3,0,0,187,0,0,0,0,0,3,0,0,0,0,0
T143,ungrazed,protected1,18,0,0,17,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,20,1,0,0,342,0,0,17,0,0,0,0,0,0,0,0
T144,ungrazed,protected1,25,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,20,1,1,1,475,0,0,0,0,0,0,0,0,0,0,0
T145,ungrazed,protected1,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,20,7,7,7,0,0,0,247,0,0,0,0,0,0,0,0
T146,ungrazed,protected1,21,0,0,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0
T147,ungrazed,protected1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T148,ungrazed,protected1,4,0,0,19,0,1,0,1,0,0,0,0,4,0,0,7,0,9,0,0,0,0,0,0,20,16,9,0,16,0,0,133,0,9,0,0,0,0,0,0
T149,ungrazed,protected1,8,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0
T150,ungrazed,protected1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T151,ungrazed,protected1,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,20,1,0,0,0,0,0,912,0,0,0,1,0,0,0,0
T152,ungrazed,protected1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,20,9,9,9,0,0,0,11,0,0,0,0,0,0,0,0
T153,ungrazed,protected1,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,4,4,4,272,0,0,0,0,0,0,0,0,0,0,0
T154,ungrazed,protected1,14,0,0,5,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,20,9,6,6,154,0,0,15,0,0,0,0,0,0,0,0
T155,ungrazed,protected1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T156,ungrazed,protected1,19,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,20,2,2,2,342,0,0,0,0,0,0,0,0,0,0,0
T157,ungrazed,protected1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
T158,ungrazed,protected1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,20,15,6,6,0,0,0,10,0,36,0,0,0,0,0,0
T159,ungrazed,protected1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,5,5,5,0,0,0,0,105,0,0,0,0,0,0,0
T160,ungrazed,protected1,9,0,0,1,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0
T161,ungrazed,protected2,27,5,0,32,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0
T162,ungrazed,protected2,29,35,2,65,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,0
T163,ungrazed,protected2,56,48,0,33,0,0,0,0,0,0,0,0,7,6,0,7,0,0,0,0,0,0,0,0,14,20,7,0,392,288,0,231,0,0,0,0,0,0,0,0
T164,ungrazed,protected2,28,29,0,32,0,0,0,0,0,0,0,0,4,9,0,7,0,0,0,0,0,0,0,0,11,20,7,0,112,261,0,224,0,0,0,0,0,0,0,0
T165,ungrazed,protected2,22,10,0,67,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1340,0,0,0,0,0,0,0,0
T166,ungrazed,protected2,26,22,0,75,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,20,19,0,0,26,0,0,1425,0,0,0,0,0,0,0,0
T167,ungrazed,protected2,19,11,0,49,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,980,0,0,0,0,0,0,0,0
T168,ungrazed,protected2,15,8,0,74,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0
T169,ungrazed,protected2,6,0,0,26,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,20,19,0,0,6,0,0,494,0,0,0,0,0,0,0,0
T170,ungrazed,protected2,37,53,1,55,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,20,18,0,0,74,0,0,990,0,0,0,0,0,0,0,0
T171,ungrazed,protected2,38,29,0,35,0,0,1,0,0,0,0,0,4,8,0,8,0,0,0,0,0,0,0,0,12,20,8,0,152,232,0,280,0,0,0,0,0,0,0,0
T172,ungrazed,protected2,20,18,3,58,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0
T173,ungrazed,protected2,31,74,0,16,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,8,20,0,0,248,888,0,0,0,0,0,0,0,0,0,0
T174,ungrazed,protected2,90,27,0,80,0,0,0,0,0,0,0,0,5,2,0,13,0,0,0,0,0,0,0,0,18,20,13,0,450,54,0,1040,0,0,0,0,0,0,0,0
T175,ungrazed,protected2,28,24,0,44,0,2,0,0,0,0,0,0,2,0,0,16,0,2,0,0,0,0,0,0,20,16,18,0,56,0,0,704,0,4,0,0,0,0,0,0
T176,ungrazed,protected2,34,16,0,42,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0
T177,ungrazed,protected2,5,0,0,20,0,3,1,0,0,0,0,0,12,0,0,6,0,2,0,0,0,0,0,0,20,6,8,0,60,0,0,120,0,6,0,0,0,0,0,0
T178,ungrazed,protected2,68,40,3,60,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,20,17,0,0,0,0,9,1020,0,0,0,0,0,0,0,0
T179,ungrazed,protected2,151,24,6,51,0,0,0,0,1,0,0,0,13,2,1,3,0,0,0,0,0,0,0,0,17,20,18,4,1963,48,6,153,0,0,0,0,0,0,0,0
T180,ungrazed,protected2,3,5,0,14,0,0,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,15,20,11,0,12,25,0,154,0,0,0,0,0,0,0,0
T181,ungrazed,protected2,51,24,2,132,0,0,0,0,0,0,0,0,12,2,1,5,0,0,0,0,0,0,0,0,17,20,18,5,612,48,2,660,0,0,0,0,0,0,0,0
T182,ungrazed,protected2,6,8,0,1,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,9,20,4,4,30,88,0,0,0,0,0,0,0,0,0,0
T183,ungrazed,protected2,16,1,0,6,0,0,0,0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,20,12,0,0,128,0,0,72,0,0,0,0,0,0,0,0
T184,ungrazed,protected2,27,16,0,25,0,0,0,0,0,0,0,0,1,9,0,10,0,0,0,0,0,0,0,0,11,20,10,0,27,144,0,250,0,0,0,0,0,0,0,0
T185,ungrazed,protected2,47,24,0,7,0,0,0,0,0,0,0,0,5,14,0,1,0,0,0,0,0,0,0,0,6,20,1,0,235,336,0,7,0,0,0,0,0,0,0,0
T186,ungrazed,protected2,0,5,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,17,17,17,0,0,0,105,0,0,0,0,0,0,0,0
T187,ungrazed,protected2,4,2,0,16,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,18,18,18,0,0,0,32,0,0,0,0,0,0,0,0
T188,ungrazed,protected2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T189,ungrazed,protected2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
T190,ungrazed,protected2,57,37,0,22,0,0,0,0,0,0,0,0,4,15,0,1,0,0,0,0,0,0,0,0,5,20,1,0,228,555,0,22,0,0,0,0,0,0,0,0
