trees,site,site.code,height,cr.fru,gr.fru,neigh,Pros.neigh,veg.cov.x,veg.cov.sd,bare.cov.x,bare.cov.sd,litt.cov.x,litt.cov.sd,veg.cov.x1,veg.cov.sd1,veg.cov.x2,veg.cov.sd2,veg.cov.x3,veg.cov.sd3,H.shannon,x,y,litt.site,bare.site,low.site,med.site,high.site,x.tran,y.tran,modules
T28,grazed,domenico,400,5,15,8,2,0.88,0.60,0.42,0.20,0.57,0.24,0.08,0.12,0.08,0.20,0.68,0.48,0.30,606628,6228125,0.20,0.80,0.15,0.10,0.11,607867,6228247,D
T29,grazed,domenico,300,40,12,7,1,0.76,0.16,0.07,0.12,0.92,0.12,0.36,0.12,0.08,0.08,0.20,0.24,0.45,606937,6228257,0.30,0.70,0.12,0.50,0.12,606838,6228229,F
T30,grazed,domenico,550,25,0,8,1,1.04,0.72,0.15,0.28,0.85,0.24,0.44,0.08,0.44,0.32,0.28,0.20,0.47,607300,6228253,0.30,0.70,0.12,0.50,0.12,606838,6228229,C
T31,grazed,domenico,500,0,2,9,1,0.60,0.44,0.12,0.16,0.80,0.20,0.28,0.24,0.04,0.08,0.24,0.24,0.40,607747,6228257,0.30,0.70,0.12,0.50,0.12,606838,6228229,C
T32,grazed,domenico,450,370,110,6,0,0.80,0.40,0.05,0.08,0.95,0.08,0.32,0.12,0.52,0.20,0.28,0.20,0.43,608069,6228277,0.30,0.70,0.12,0.50,0.12,606838,6228229,D
T33,grazed,domenico,400,15,2,10,2,0.84,0.52,0.15,0.28,0.85,0.28,0.00,0.00,0.20,0.24,0.64,0.48,0.24,605750,6228172,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T34,grazed,domenico,400,5,2,7,1,1.28,0.12,0.07,0.12,0.92,0.12,0.48,0.12,0.36,0.24,0.44,0.20,0.47,605753,6228459,0.00,1.00,0.19,0.70,0.13,605631,6229959,A
T35,grazed,domenico,350,180,10,7,1,1.16,0.04,0.07,0.12,0.92,0.12,0.28,0.16,0.36,0.36,0.64,0.16,0.46,605697,6228958,0.00,1.00,0.19,0.70,0.13,605631,6229959,A
T36,grazed,domenico,350,20,5,11,5,1.24,0.28,0.12,0.16,0.87,0.44,0.68,0.24,0.24,0.28,0.28,0.24,0.43,605676,6229373,0.00,1.00,0.19,0.70,0.13,605631,6229959,NA
T37,grazed,domenico,400,20,0,7,0,1.08,0.24,0.05,0.08,0.95,0.08,0.56,0.40,0.36,0.32,0.20,0.28,0.44,605670,6229702,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T38,grazed,domenico,500,20,25,9,4,0.96,0.52,0.05,0.08,0.95,0.08,0.28,0.32,0.12,0.08,0.52,0.28,0.41,605645,6230036,0.00,1.00,0.19,0.70,0.13,605631,6229959,E
T39,grazed,domenico,450,40,80,12,2,0.88,0.32,0.22,0.40,0.77,0.40,0.40,0.24,0.12,0.12,0.40,0.24,0.42,605607,6230347,0.00,1.00,0.19,0.70,0.13,605631,6229959,C
T40,grazed,domenico,450,0,0,11,0,1.36,0.36,0.07,0.12,0.92,0.12,0.52,0.32,0.28,0.16,0.56,0.08,0.46,605592,6230836,0.00,1.00,0.19,0.70,0.13,605631,6229959,E
T41,grazed,domenico,450,15,0,8,0,1.60,0.48,0.07,0.12,0.92,0.12,1.04,0.28,0.12,0.08,0.44,0.24,0.36,605467,6230680,0.50,0.50,0.14,0.50,0.13,604934,6230231,C
T42,grazed,domenico,500,90,6,9,0,1.08,0.24,0.30,0.28,0.70,0.36,0.68,0.40,0.16,0.24,0.28,0.04,0.40,605250,6230477,0.50,0.50,0.14,0.50,0.13,604934,6230231,A
T43,grazed,domenico,450,100,5,9,4,1.16,0.36,0.05,0.08,0.95,0.08,0.36,0.08,0.28,0.40,0.48,0.20,0.47,604994,6230314,0.50,0.50,0.14,0.50,0.13,604934,6230231,F
T44,grazed,domenico,400,50,100,9,1,1.36,0.48,0.05,0.08,0.95,0.08,0.60,0.16,0.12,0.20,0.64,0.20,0.41,604710,6230095,0.50,0.50,0.14,0.50,0.13,604934,6230231,F
T45,grazed,domenico,400,55,80,8,0,0.96,0.28,0.05,0.08,0.95,0.08,0.08,0.08,0.16,0.20,0.68,0.20,0.34,604471,6229905,0.50,0.50,0.14,0.50,0.13,604934,6230231,F
T46,grazed,domenico,450,100,130,6,2,1.16,0.48,0.17,0.20,0.82,0.20,0.68,0.28,0.24,0.20,0.20,0.16,0.41,604192,6229694,0.50,0.50,0.14,0.50,0.13,604934,6230231,NA
T47,grazed,domenico,450,5,3,11,2,1.36,0.16,0.02,0.04,0.97,0.04,1.00,0.16,0.28,0.24,0.04,0.04,0.29,603941,6229523,0.50,0.50,0.14,0.50,0.13,604934,6230231,A
T48,grazed,domenico,500,30,5,4,2,1.28,0.56,0.05,0.08,0.95,0.08,0.44,0.24,0.40,0.12,0.16,0.20,0.45,603563,6229272,0.50,0.50,0.14,0.50,0.13,604934,6230231,C
T49,grazed,domenico,650,70,62,11,1,0.76,0.36,0.30,0.28,0.70,0.36,0.48,0.24,0.08,0.12,0.16,0.12,0.37,601738,6228789,0.80,0.20,0.13,0.13,0.12,601756,6229745,NA
T50,grazed,domenico,500,0,0,7,3,0.84,0.36,0.05,0.08,0.95,0.08,0.36,0.16,0.24,0.40,0.28,0.24,0.47,601758,6229112,0.80,0.20,0.13,0.13,0.12,601756,6229745,C
T51,grazed,domenico,350,0,0,8,0,1.16,0.56,0.37,0.32,0.62,0.08,0.44,0.08,0.44,0.56,0.28,0.20,0.47,601779,6229469,0.80,0.20,0.13,0.13,0.12,601756,6229745,NA
T52,grazed,domenico,500,16,0,5,1,0.40,0.12,0.27,0.24,0.72,0.32,0.00,0.00,0.04,0.08,0.36,0.20,0.16,601783,6229781,0.80,0.20,0.13,0.13,0.12,601756,6229745,C
T53,grazed,domenico,400,0,0,10,3,1.16,0.20,0.02,0.04,0.97,0.04,0.64,0.20,0.44,0.32,0.16,0.20,0.43,601798,6230082,0.80,0.20,0.13,0.13,0.12,601756,6229745,C
T54,grazed,domenico,450,15,1,8,3,0.80,0.44,0.37,0.32,0.62,0.12,0.36,0.12,0.16,0.16,0.28,0.36,0.46,601813,6230415,0.80,0.20,0.13,0.13,0.12,601756,6229745,NA
T55,grazed,domenico,400,1,0,8,1,1.00,0.32,0.02,0.04,0.97,0.04,0.24,0.20,0.28,0.36,0.44,0.12,0.46,601824,6230748,0.50,0.50,1.40,0.90,0.12,601814,6231024,C
T56,grazed,domenico,400,5,0,10,0,0.72,0.28,0.37,0.32,0.62,0.32,0.48,0.24,0.12,0.16,0.12,0.16,0.38,601847,6231054,0.50,0.50,1.40,0.90,0.12,601814,6231024,D
T57,grazed,domenico,400,0,2,12,5,1.20,0.32,0.02,0.04,0.97,0.04,0.24,0.36,0.36,0.24,0.60,0.28,0.44,601868,6231436,0.50,0.50,1.40,0.90,0.12,601814,6231024,E
T58,grazed,domenico,500,35,22,8,3,0.60,0.56,0.22,0.40,0.77,0.40,0.08,0.12,0.32,0.52,0.16,0.08,0.43,601878,6231806,0.50,0.50,1.40,0.90,0.12,601814,6231024,D
T59,grazed,domenico,400,0,0,8,1,0.76,0.16,0.10,0.12,0.65,0.12,0.20,0.28,0.24,0.24,0.28,0.16,0.47,601883,6232126,0.50,0.50,1.40,0.90,0.12,601814,6231024,C
T60,grazed,domenico,400,0,0,9,4,0.48,0.08,0.22,0.40,0.77,0.40,0.24,0.08,0.00,0.00,0.28,0.08,0.29,601901,6232467,0.50,0.50,1.40,0.90,0.12,601814,6231024,C
T61,grazed,araya,550,36,0,8,0,0.92,0.28,0.12,0.40,0.87,0.24,0.24,0.12,0.56,0.20,0.16,0.24,0.41,594814,6234194,0.76,0.24,0.32,0.22,0.48,594150,6234208,A
T62,grazed,araya,300,4,0,7,1,0.88,0.44,0.05,0.40,0.95,0.10,0.16,0.12,0.48,0.32,0.24,0.24,0.43,594441,6234173,0.76,0.24,0.32,0.22,0.48,594150,6234208,B
T63,grazed,araya,300,7,0,7,3,1.36,0.56,0.02,0.40,0.97,0.04,0.16,0.12,0.80,0.32,0.52,0.32,0.41,594116,6234207,0.76,0.24,0.32,0.22,0.48,594150,6234208,D
T64,grazed,araya,300,10,0,8,5,1.16,0.40,0.12,0.40,0.87,0.24,0.52,0.40,0.36,0.28,0.28,0.36,0.46,593629,6234198,0.76,0.24,0.32,0.22,0.48,594150,6234208,C
